year,population,y_pop,y_pop_us_100,y_wkr,y_wkr_us_100,growth_100,i_y,g_y,ed_att,nx_y,x_m_y,ex_rate,country
1970,6.301,4504,19.2707,11694,20.2285,NaN,30.9276,5.7546,NaN,-0.1429,9.2483,0,AGO
1971,6.4376,4713,19.691,12388,20.7409,4.5378,30.9191,5.7271,NaN,1.0805,9.6003,0,AGO
1972,6.5876,4517,18.0526,11999,19.562,-4.2624,31.8112,5.9371,NaN,-0.8328,10.3514,0,AGO
1973,6.7502,4729,17.9558,12668,20.0671,4.5955,32.348,5.9512,NaN,-1.0249,13.5077,0,AGO
1974,6.9237,4641,17.9415,12184,19.8333,-1.8749,33.0875,5.9599,NaN,-0.7634,21.7269,0,AGO
1975,7.1073,4256,16.6938,10833,17.5119,-8.664,33.6528,5.9392,NaN,-1.802,20.5425,0,AGO
1976,7.2995,4025,15.0671,10204,16.0847,-5.586,33.0986,5.8202,NaN,-0.244,11.3133,0,AGO
1977,7.5013,4079,14.7141,10580,16.4634,1.3421,32.4958,5.737,NaN,2.1122,12.9833,0,AGO
1978,7.7171,3610,12.4243,9420,14.4236,-12.2202,33.651,6.0511,NaN,-2.3858,18.3743,0,AGO
1979,7.9529,3524,11.8497,9309,14.1563,-2.4094,32.3309,6.1207,NaN,1.3762,22.4269,0,AGO
1980,8.2119,3606,12.3128,9820,15.0595,2.3086,28.5041,4.8139,NaN,5.971,29.5955,0,AGO
1981,8.4979,3407,11.4433,9326,14.0915,-5.6723,29.7226,5.2488,NaN,2.746,30.7445,0,AGO
1982,8.8075,3118,10.8368,8578,13.1843,-8.8698,36.5594,6.4152,NaN,-6.0375,20.5965,0,AGO
1983,9.1287,3135,10.5169,8766,13.0555,0.545,30.3364,6.2517,NaN,-5.1093,17.5217,0,AGO
1984,9.4449,3005,9.4502,8508,12.255,-4.2491,32.0842,7.6929,NaN,-2.1739,23.3163,0,AGO
1985,9.7452,3178,9.7308,9034,12.8118,5.5954,22.5197,6.3083,NaN,3.2297,23.7791,0,AGO
1986,10.0237,2700,8.083,7725,10.8536,-16.3033,22.3206,8.0826,NaN,-2.0022,20.8241,0,AGO
1987,10.2857,2884,8.426,8267,11.5197,6.6192,22.4382,7.6891,NaN,6.572,23.593,0,AGO
1988,10.5449,2675,7.5791,7692,10.5247,-7.5504,19.137,8.5559,NaN,5.6492000000000004,27.2517,0,AGO
1989,10.821,2805,7.7536,8076,10.8926,4.7483,14.4326,7.5466,NaN,9.8393,28.6899,0,AGO
1990,11.1279,2936,8.0649,8473,11.3608,4.5596,13.5657,6.553,NaN,17.3086,34.9363,0,AGO
