DATE,Bonds
1/1/1980,15.2525
1/1/1981,19.3575
1/1/1982,20.215
1/1/1983,18.29916667
1/1/1984,15.59916667
1/1/1985,13.7125
1/1/1986,11.46833333
1/1/1987,10.64166667
1/1/1988,10.89583333
1/1/1989,12.78583333
1/1/1990,13.53583333
1/1/1991,13.2825
1/1/1992,13.2675
1/1/1993,11.18666667
1/1/1994,10.52
1/1/1995,12.205
1/1/1996,9.400833333
1/1/1997,6.8625
1/1/1998,4.884166667
1/1/1999,4.7275
1/1/2000,5.575833333
1/1/2001,5.189166667
1/1/2002,5.035833333
1/1/2003,4.248333333
1/1/2004,4.258333333
1/1/2005,3.555833333
1/1/2006,4.0475
1/1/2007,4.487325
1/1/2008,4.68115
1/1/2009,4.313333333
1/1/2010,4.035833333
1/1/2011,5.424166667
1/1/2012,5.4925
1/1/2013,4.316666667
1/1/2014,2.8925
1/1/2015,1.714166667
1/1/2016,1.4875
1/1/2017,2.111666667
